time,ppg prediction,acc prediction,count
2024-08-20 19:12:48,1,"desk-work",1
2024-08-20 19:13:00,0,"desk-work",2
2024-08-20 19:13:12,0,"desk-work",3
2024-08-20 19:13:24,1,"desk-work",4
2024-08-20 19:13:36,1,"desk-work",5
2024-08-20 19:13:48,0,"desk-work",6
2024-08-20 19:14:00,0,"desk-work",7
2024-08-20 19:14:12,0,"desk-work",8
2024-08-20 19:14:24,1,"desk-work",9
2024-08-20 19:14:36,0,"desk-work",10
