time,ppg prediction,acc prediction,count
2024-08-21 13:00:39,0,"danger",1
2024-08-21 13:00:52,1,"danger",2
2024-08-21 13:01:04,1,"danger",3
2024-08-21 13:01:16,0,"danger",4
2024-08-21 13:01:28,0,"danger",5
2024-08-21 13:01:40,1,"danger",6
2024-08-21 13:01:52,1,"danger",7
2024-08-21 13:02:04,1,"danger",8
2024-08-21 13:02:16,0,"danger",9
2024-08-21 13:02:28,1,"danger",10
