time,ppg prediction,acc prediction,count
2024-08-21 13:04:34,0,"danger",1
2024-08-21 13:04:46,1,"danger",2
2024-08-21 13:04:58,1,"danger",3
2024-08-21 13:05:11,1,"danger",4
2024-08-21 13:05:23,0,"danger",5
2024-08-21 13:05:35,1,"danger",6
2024-08-21 13:05:47,0,"danger",7
2024-08-21 13:05:59,0,"danger",8
2024-08-21 13:06:11,0,"danger",9
2024-08-21 13:06:23,1,"danger",10
